chem_name,application_target,application_rate,number_of_applications,interval_between_applications,Koc,aerobic_soil_metabolism,wet_in,application_method,aerial_size_dist,ground_spray_type,airblast_type,spray_quality,no_spray_drift,incorporation_depth,solubility,aerobic_aquatic_metabolism,hydrolysis,photolysis_aquatic_half_life
Test,Short grass,4,5,6,2,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test1,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test2,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test3,Short grass,4,5,6,2,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test4,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test5,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test6,Short grass,4,5,6,2,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test7,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test8,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test9,Short grass,4,5,6,2,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test10,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
Test11,Short grass,4,5,6,10,7,Yes,a,a,0,0,0,12,0,3,6,0,11
