"corn, all or unspecified",33.19
"     corn, field",27.04
"     corn, pop",27.04
"     corn, sweet",33.19
"cotton, all or unspecified",150.00
"     cotton, pima",13.33
rice,129.00
soybean,166.67
     soybean for edamame,104.50
"wheat, all or unspecified",157.10
"    wheat, winter",157.00
"    wheat, spring",156.00
"    wheat, hard red winter, dryland",120.00
"    wheat, hard red winter, irrigated",130.00
"    wheat, hard red winter, unspecified",130.00
"    wheat, soft red winter, all",157.10
"    wheat, hard red spring, dryland",120.00
"    wheat, hard red spring, irrigated",146.00
"    wheat, hard red spring, unspecified",146.00
"    wheat, white",156.00
"    wheat, durum",156.00
"hay or pasture, all or unspecified",116.00
perennial legume hay or pasture,35.00
    alfalfa,90.00
    birdsfoot trefoil,15.00
    lespedeza,35.00
"    clover, all or unspecified",30.00
"          clover, alsike",9.00
"          clover, arrowleaf",8.00
"          clover, berseem",20.00
"          clover, crimson",20.00
"          clover, kura",30.00
"          clover, red",6.00
"          clover, rose",11.00
"          clover, white",20.00
"     lupine, all or unspecified",160.00
"          lupine, blue",80.00
"          lupine, narrow leaf",150.00
"          lupine, white",160.00
"          lupine, yellow",71.00
   crown vetch,5.00
perennial grass hay or pasture,30.00
    festulolium,30.00
    Kentucky bluegrass,25.00
    orchard grass,10.00
    perennial ryegrass,10.00
    reed canary grass,24.00
    smooth brome,10.00
    Bermuda grass,16.00
    red fescue,8.00
    tall fescue,5.00
    timothy,15.00
    big bluestem,8.00
    eastern gama grass,12.00
    indian grass,9.00
    switch grass,12.00
annual grass for forage,116.00
    annual ryegrass,9.00
    pearl millet for forage,24.00
"    oats spring, for forage",20.00
"    rye, winter for forage",87.00
    sorghum for forage,109.00
    sudan grass for forage,24.00
    triticale for forage,23.00
"    winter wheat, for forage",109.00
    teff for forage,116.00
asparagus,10.00
barley,138.30
"beans, common or dry",140.01
"beans, lima",163.35
"beans, succulent, or green",213.53
"beets, garden",435.60
broccoli,25.00
brussels sprouts,0.44
buckwheat,0.15
cabbage,72.00
carrot,11.95
cauliflower,5.69
cilantro,0.18
collards,50.00
cucumber,11.62
dill weed,5.81
ginseng,8.00
kale for market,100.00
"lettuce, all or unspecifed",0.98
"     lettuce, head",0.78
"     lettuce, leaf, Bibb, Boston, or Romaine",0.39
"millet for feed, all or unspecified",71.00
"     millet for feed, browntop",71.00
"     millet for feed, finger",20.00
"     millet for feed, foxtail",10.00
"     millet for feed, Japanese",20.00
"     millet for feed, pearl",25.00
"     millet for feed, proso",15.00
"musk melon, all or unspecified",0.80
     canteloupe,0.80
     honeydew,0.80
     casaba,0.80
"     Canary, or Juan Canary",0.80
     Japanese,0.80
     Crenshaw,0.80
mustard greens,6.00
mustard seed,4.00
oats,7.00
"onions, all or unspecified",110.00
"     onions, bulb types except pearl",75.00
"     onions, pearl",110.00
     onions for seed,4.59
"     onions, bunching (spring or green)",75.00
parsley,40.00
"pea, field",217.80
"pea, garden",411.00
"pea, southern",275.00
peanut,228.26
"peppers, all",170.00
"     peppers, bell",170.00
"     peppers, hot (paprika, chili, etc)",4.18
potatoes,6969.60
"pumpkin, all",4.54
"     pumpkin, large or large vine",4.54
"     pumpkin, bush or small fruit/vine",4.54
"squash, all",8.01
"      squash, summer",6.10
"      squash, winter",3.80
"      squash, spagetti",3.78
radish,32.67
rape,30.63
canola,30.63
rutabaga,7.74
rye,2.00
safflower,90.00
sesame,35.00
sorghum,12.00
spinach,60.31
sugar beet for seed production,25.00
sugar beet,25.00
sunflower,1.82
turnip green,6.30
tomatoes,4.00
turnips,1.57
watermelon,9.08
